JobGauges,Dalamud.Game.ClientState.JobGauge
AetheryteList,Dalamud.Game.ClientState.Aetherytes
LibcFunction,Dalamud.Game.Libc
FateTable,Dalamud.Game.ClientState.Fates
Condition,Dalamud.Game.ClientState.Conditions
ObjectTable,Dalamud.Game.ClientState.Objects
PartyFinderGui,Dalamud.Game.Gui.PartyFinder
BuddyList,Dalamud.Game.ClientState.Buddy
PluginConfigurations,Dalamud.Configuration
TargetManager,Dalamud.Game.ClientState.Objects
CommandManager,Dalamud.Game.Command
PartyList,Dalamud.Game.ClientState.Party
ClientState,Dalamud.Game.ClientState
GameNetwork,Dalamud.Game.Network
KeyState,Dalamud.Game.ClientState.Keys
TitleScreenMenu,Dalamud.Interface
SeStringManager,Dalamud.Game.Text.SeStringHandling
GamepadState,Dalamud.Game.ClientState.GamePad
DtrBar,Dalamud.Game.Gui.Dtr
FlyTextGui,Dalamud.Game.Gui.FlyText
ChatHandlers,Dalamud.Game
ToastGui,Dalamud.Game.Gui.Toast
DataManager,Dalamud.Data
Framework,Dalamud.Game
SigScanner,Dalamud.Game
ChatGui,Dalamud.Game.Gui
GameGui,Dalamud.Game.Gui